Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes,Model,Prompt Version,Date
PS1,Play Store,Core,1,Events only,Navigate Up button announces recent search history text instead of its own name,2.5.3 Label in Name (A),Medium,N,N,,Y,,,,,,,,"event_seq 6: label=""uber"", announcement [""uber, youtube, amazon"", ""Navigate up, Button, Out of list""]",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,2,Events only,Search EditText has no descriptive accessible label,"4.1.2 Name, Role, Value (A)",Medium,N,N,,Y,,,,,,,,"event_seq 10: label=""Editing"", announcement [""Editing, t, Edit box""] — Editing is hint-derived state, not a real label",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,3,Events only,Standalone Double-tap to activate announcement after Install with no element context,4.1.3 Status Messages (AA),Medium,N,N,,Y,,,,,,,,"event_seq 29: event_type=announcement, no UI element, announcement [""Double-tap to activate""]",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,1,Trees only,Search bar secondary action button has no accessible name,"4.1.2 Name, Role, Value (A)",High,N,N,,,Y,,,,,,,"trees 10-11 through 10-26: android.widget.Button at {left:828,top:157,right:933,bottom:262} contentDescription="""", text=""""; same for variant at {left:954,top:157,right:1059,bottom:262}",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,2,Trees only,App listing card containers have no accessible name on interactive parent,"4.1.2 Name, Role, Value (A)",Medium,N,N,,,Y,,,,,,,"trees 09-55/09-57/10-03: android.view.View at {left:47,top:834,right:375,bottom:1309} isScreenReaderFocusable=true isClickable=true contentDescription=""""; child TikTok/ChatGPT/LinkedIn/DoorDash info in non-focusable child",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,1,Events + User Actions,Navigate Up button announces recent search history text instead of its own name,2.5.3 Label in Name (A),Medium,N,N,,,,Y,,,,,,"event_seq 6: label=""uber"", announcement [""uber, youtube, amazon"", ""Navigate up, Button, Out of list""]; user_actions seq 13 (phone tap action_index 4) confirms interaction",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,2,Events + User Actions,Search EditText has no descriptive accessible label,"4.1.2 Name, Role, Value (A)",Medium,N,N,,,,Y,,,,,,"event_seq 10: label=""Editing""; user_actions seq 14–18 confirm full typing workflow through unlabeled field",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,3,Events + User Actions,Standalone Double-tap to activate announcement after Install with no element context,4.1.3 Status Messages (AA),Medium,N,N,,,,Y,,,,,,"event_seq 29: announcement [""Double-tap to activate""] bare with no UI element; user_actions seq 27–28 confirm Install activation",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,1,Events + User Actions + Trees,Navigate Up button announces recent search history text instead of its own name,2.5.3 Label in Name (A),Medium,N,N,,,,,Y,,,,,"event_seq 6: label=""uber"", announcement [""uber, youtube, amazon"", ""Navigate up, Button, Out of list""]; tree 10-11 confirms same element",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,2,Events + User Actions + Trees,Search EditText has no descriptive accessible label,"4.1.2 Name, Role, Value (A)",Medium,N,N,,,,,Y,,,,,"event_seq 10: label=""Editing""; trees 10-16/10-17/10-19: EditText contentDescription=""""; user_actions seq 14–18 confirm typing flow",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,3,Events + User Actions + Trees,Standalone Double-tap to activate announcement after Install with no element context,4.1.3 Status Messages (AA),Medium,N,N,,,,,Y,,,,,"event_seq 29: announcement [""Double-tap to activate""] with no UI element; event_seq 30 [""0%""] follows (download begins)",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,4,Events + User Actions + Trees,Search bar secondary action button has no accessible name,"4.1.2 Name, Role, Value (A)",High,N,N,,,,,Y,,,,,"trees 10-11 through 10-26: android.widget.Button at {left:828,top:157,right:933,bottom:262} contentDescription=""""; persists across all search-active trees",claude-sonnet-4-6,v1.0,2026-05-31
PS1,Play Store,Core,5,Events + User Actions + Trees,App listing card containers have no accessible name on interactive parent,"4.1.2 Name, Role, Value (A)",Medium,N,N,,,,,Y,,,,,"trees 09-55/09-57/10-03: android.view.View isScreenReaderFocusable=true isClickable=true contentDescription=""""; child with TikTok/ChatGPT/LinkedIn labels is isScreenReaderFocusable=false",claude-sonnet-4-6,v1.0,2026-05-31
