Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG,Severity,Manually Observed
GM1,Gmail,Core,1,Events,<no_feedback> announced when email search result receives TalkBack focus,"4.1.2 Name, Role, Value",High,Y
GM1,Gmail,Core,2,Events,"Search bar label announced twice in succession: 'Search in mail, Search in mail'","4.1.2 Name, Role, Value",Low,Y
GM1,Gmail,Core,3,Events,"Email search result announcement contains empty gaps: 'Unread, , , Google, , Security alert...'","4.1.2 Name, Role, Value",Medium,Y
GM1,Gmail,Core,4,Events,"Button label mismatch: resource_id next_button has label 'Google Meet' but TalkBack announces 'Got it, Button'",2.5.3 Label in Name,Medium,N
GM1,Gmail,Core,5,Events,Focused EditText collapses to zero-size bounds {w:0 h:0} during all typing events,2.4.7 Focus Visible,Low,N
GM1,Gmail,Core,6,Events,Welcome screen ViewPager has empty role field,"4.1.2 Name, Role, Value",Low,N
GM1,Gmail,Core,1,User Actions,User retaps same email list item (same resource_id viewified_conversation_item_view) at action_index 29 then 31,4.1.3 Status Messages,Medium,N
GM1,Gmail,Core,2,User Actions,Accidental TalkBack speech rate change triggered during task: swipe_down + tap at action_index 32-33 while navigating email content,3.2.1 On Focus,Low,Y
GM1,Gmail,Core,3,User Actions,Three consecutive browser taps required before TalkBack registers action at nearly every interaction point,2.5.8 Minimum Target Size,Low,N
GM1,Gmail,Core,1,Events + User Actions,<no_feedback> on email search result (event 37) followed by user re-tap of same item (seq 56) confirms task completion failure,"4.1.2 Name, Role, Value",High,Y
GM1,Gmail,Core,2,Events + User Actions,Accidental speech rate change (event 38: 'Speech rate 90%') triggered by user swipe_down + tap (seq 66-67) immediately after failed email open,3.2.1 On Focus,Medium,Y
GM1,Gmail,Core,3,Events + User Actions,Email announcement contains empty gaps (event 35) at moment user selects first search result (seq 44-48),"4.1.2 Name, Role, Value",Medium,Y
GM1,Gmail,Core,4,Events + User Actions,Duplicate 'Search in mail' label (events 12-13) occurs during user's two-attempt search bar navigation (seq 30-34),"4.1.2 Name, Role, Value",Low,Y
GM1,Gmail,Core,5,Events + User Actions,Got it' button announced with mismatched label 'Google Meet' (event 11) when user activates it (seq 26-29 → action_index 25),2.5.3 Label in Name,Medium,N
GM1,Gmail,Core,1,Events + Trees,<no_feedback> on email search result (event 37) confirmed by empty content_pane in view hierarchy (tree 08-18-41-815),"4.1.2 Name, Role, Value",High,Y
GM1,Gmail,Core,2,Events + Trees,"Email search result announcement gaps (event 35) confirmed by tree: viewified_conversation_item_view text field contains 'Unread, , , Google, , Security alert...'","4.1.2 Name, Role, Value",Medium,Y
GM1,Gmail,Core,3,Events + Trees,Primary' inbox section header (conversation_list_folder_name) has contentDescription='' and isFocusable=false,1.3.1 Info and Relationships,Medium,N
GM1,Gmail,Core,4,Events + Trees,Voice search button (mic_icon) has isFocusable=false,2.1.1 Keyboard,Medium,N
GM1,Gmail,Core,5,Events + Trees,Quick Results' section label in search suggestions has contentDescription='' and isFocusable=false,1.3.1 Info and Relationships,Low,N
GM1,Gmail,Core,6,Events + Trees,Email tip 'Tap a sender image to select that conversation' has isFocusable=false and contentDescription='',1.3.1 Info and Relationships,Low,N
GM1,Gmail,Core,7,Events + Trees,Duplicate 'Search in mail' announcement (events 12-13) caused by EditText hint='Search in mail' being read alongside label,"4.1.2 Name, Role, Value",Low,Y
GM1,Gmail,Core,8,Events + Trees,Search filter chips (Labels From To Attachment Date) all have contentDescription='',"4.1.2 Name, Role, Value",Low,N
GM1,Gmail,Core,9,Events + Trees,"Mail tab badge inconsistency: contentDescription='More than 99 new notifications' but tooltipText='Mail, 100 new notifications'","4.1.2 Name, Role, Value",Low,N
GM1,Gmail,Core,1,Events + User Actions + Trees,Complete task failure: <no_feedback> (event 37) + user retry tap (seq 56) + empty content_pane in tree (08-18-41-815) + accidental speech rate change (event 38 + seq 66-67),"4.1.2 Name, Role, Value",High,Y
GM1,Gmail,Core,2,Events + User Actions + Trees,Email search result announcement gaps confirmed by all three sources: event 35 announces empty slots; tree text field sh,"4.1.2 Name, Role, Value",Medium,Y
GM1,Gmail,Core,3,Events + User Actions + Trees,Voice search (mic_icon) isFocusable=false in tree and never receives focus event throughout session,2.1.1 Keyboard,Medium,N
GM1,Gmail,Core,4,Events + User Actions + Trees,Primary' section header inaccessible (tree: isFocusable=false contentDescription='') and never appears in event focus log,1.3.1 Info and Relationships,Medium,N
GM1,Gmail,Core,5,Events + User Actions + Trees,User disorientation after failed email open (no feedback event 37 + empty tree) leads to accidental speech rate change (event 38 + user swipe_down seq 66-67),3.2.1 On Focus,Medium,Y
GM1,Gmail,Core,6,Events + User Actions + Trees,Got it' button (next_button) has label 'Google Meet' in tree but announces 'Got it Button',2.5.3 Label in Name,Medium,N
GM1,Gmail,Core,7,Events + User Actions + Trees,Duplicate 'Search in mail' announcement (events 12-13) during user search bar navigation (seq 30-34) confirmed by tree hint=label duplication,"4.1.2 Name, Role, Value",Low,Y
GM1,Gmail,Core,8,Events + User Actions + Trees,Filter chips (Labels From To Attachment Date) have contentDescription='' in tree and receive no focus events,"4.1.2 Name, Role, Value",Low,N
GM1,Gmail,Core,9,Events + User Actions + Trees,Email onboarding tip 'Tap a sender image to select that conversation' has isFocusable=false in tree and receives no focus event,1.3.1 Info and Relationships,Low,N
GM2,Gmail,Stressful,1,User Actions,Keyboard input method keys use generic android.widget.FrameLayout class with empty role attribute,"4.1.2 Name, Role, Value",Medium,N
GM2,Gmail,Stressful,2,User Actions,Webview element labeled only as 'Webview' with no context about its purpose in the Gmail compose interface,1.1.1 Non-text Content,Medium,Y
GM2,Gmail,Stressful,3,User Actions,EditText field has label 'Gmail' in ui_element but TalkBack announces 'Edit box for To',"4.1.2 Name, Role, Value",Medium,N
GM2,Gmail,Stressful,4,User Actions,Autocomplete suggestion 'The' appears in keyboard announcements alongside typed characters causing confusion,4.1.3 Status Messages and Notifications,Medium,N
GM2,Gmail,Stressful,5,User Actions,Multiple elements have empty role attribute including Buttons and TextViews,"4.1.2 Name, Role, Value",Medium,N
GM2,Gmail,Stressful,6,User Actions,"Repeated identical announcements of keyboard keys ('o, oscar' appears 3 times in succession)",2.4.4 Link Purpose,Low,N
GM2,Gmail,Stressful,1,Events + User Actions,Every interactive element in the compose screen has isScreenReaderFocusable=false,"4.1.2 Name, Role, Value",High,Y
GM2,Gmail,Stressful,2,Events + User Actions,Subject field (com.google.android.gm:id/subject) has contentDescription='',"4.1.2 Name, Role, Value",High,N
GM2,Gmail,Stressful,3,Events + User Actions,Body email editor (android.widget.EditText inside WebView) has contentDescription='' and isImportantForAccessibility=false,2.1.1 Keyboard,High,Y
GM2,Gmail,Stressful,4,Events + User Actions,from_account_name TextView (manyapbhat@gmail.com) has contentDescription='' and isFocusable=false,"4.1.2 Name, Role, Value",Medium,N
GM2,Gmail,Stressful,5,Events + User Actions,Help me write' AI button (smart_draft_fab) has contentDescription='',"4.1.2 Name, Role, Value",Medium,N
GM2,Gmail,Stressful,6,Events + User Actions,To' field label TextView (peoplekit_autocomplete_to_prefix) has contentDescription='',"4.1.2 Name, Role, Value",Low,N
GM2,Gmail,Stressful,7,Events + User Actions,Primary' inbox section header (conversation_list_folder_name) has contentDescription='' and isFocusable=false,1.3.1 Info and Relationships,Low,N
GM2,Gmail,Stressful,1,Events + User Actions + Trees,User required 3+ repeated browser taps before each phone action throughout entire session,2.5.8 Minimum Target Size,Medium,Y
GM2,Gmail,Stressful,2,Events + User Actions + Trees,User navigated to WebView body area twice (event_seq 72 and 81) through separate swipe-right and tap sequences before successfully landing on the EditText body at event_seq 82,2.1.1 Keyboard,High,Y
GM2,Gmail,Stressful,3,Events + User Actions + Trees,Subject field entered 'Hellot' then had to delete the extra 't' (event_seq 73-79: typed 'Hellot' then Deleted 't'),2.4.3 Focus Order,Medium,Y
GM2,Gmail,Stressful,4,Events + User Actions + Trees,User tapped back/navigate-up button area 4 times before the Navigate up button registered (user_actions seq 74-79: two pairs of double-taps at nearly identical coordinates 1013/231 and 76/238 then 102/226 before action_index 22 registered),2.5.8 Minimum Target Size,Medium,N
AM1,Amazon,Core,1,Events,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,2,Events,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N
AM1,Amazon,Core,3,Events,"Search box (chrome_search_box) announces only """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),Medium,Y
