Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes
MP1,Google Maps,Core,1,Events only,"Action button announces ""Double-tap to activate"" without context during Space Needle details page load",4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,Y,,,,,,,,"Event seq 30: android.widget.Button at bounds {x:42,y:1526,w:321,h:126} announcement:[""Double-tap to activate""]. Event seq 31 (740ms later): announcement [""Directions to Space Needle, 400 Broad St, Button, 1 of 8, In list, 8 items""] — name populated asynchronously after page load."
MP1,Google Maps,Core,2,Events only,Search suggestion rows announced without semantic role — LinearLayout used as interactive item with no role token in TalkBack announcement,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,Y,,,,,,,,"Event seq 27: android.widget.LinearLayout role:"""" announcement:[""Space Needle, Broad Street, Seattle, WA, Window Maps"",""Double-tap to activate""] — no role (Button/List item) announced."
MP1,Google Maps,Core,2,Trees only,Search suggestion rows use LinearLayout with no contentDescription — accessible name derived from child TextViews only,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,Y,,,,,,,"tree_2026-05-26T17-21-37-222.json: multiple android.widget.LinearLayout contentDescription="""" isClickable=true; child TextViews hold suggestion names (e.g., text=""Sconers"", ""Space Needle"")."
MP1,Google Maps,Core,3,Trees only,"""Tickets"" action button implemented as CompoundButton with no accessible name and wrong role (toggle instead of button)",4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,Y,,,,,,,"tree_2026-05-26T17-21-54-781.json: android.widget.CompoundButton at pos=(386,1526) size=267x126 contentDescription="""" text="""". Child android.widget.Button text=""Tickets"" isClickable=false. Sibling action buttons have explicit contentDescription; this one does not."
MP1,Google Maps,Core,4,Trees only,"""Clear"" search button has no contentDescription on the interactive Button element — relies on child ImageView for accessible name",4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,Y,,,,,,,"tree_2026-05-26T17-21-37-222.json: android.widget.Button rid=search_omnibox_text_clear contentDescription="""" text="""" size=126x126. Child android.widget.ImageView contentDescription=""Clear""."
MP1,Google Maps,Core,5,Trees only,"""See nearby attractions"" button has no contentDescription on the Button element — name relies on child View text traversal",4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,Y,,,,,,,"tree_2026-05-26T17-21-54-781.json: android.widget.Button at pos=(309,299) size=462x126 contentDescription="""" text="""". Child android.view.View text=""See nearby attractions"" contentDescription=""""."
MP1,Google Maps,Core,1,Events + User Actions,"Action button announces ""Double-tap to activate"" without context during Space Needle details page load",4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,,Y,,,,,,"Event seq 30: announcement [""Double-tap to activate""] for Button at (42,1526). user_actions seq 28: browser tap at (259,1558) navigating to details action area after page load. Multiple browser taps required throughout session indicating emulator lag (seqs 1–3, 7–9, 23–25)."
MP1,Google Maps,Core,2,Events + User Actions,Search suggestion rows announced without semantic role,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,,Y,,,,,,"user_actions seq 27: action:""click"" class:android.widget.LinearLayout text:""Space Needle Broad Street, Seattle, WA"". Event seq 27 announcement contains no role token."
MP1,Google Maps,Core,1,Events + User Actions + Trees,"Action button announces ""Double-tap to activate"" without context during Space Needle details page load",4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,,,Y,,,,,"Event seq 30 announcement [""Double-tap to activate""]; tree shows same Button at (42,1526) size=321x126 with contentDescription:""Directions to Space Needle, 400 Broad St"" — name populated ~529ms after focus event."
MP1,Google Maps,Core,2,Events + User Actions + Trees,Search suggestion rows announced without semantic role — LinearLayout with no contentDescription used as interactive suggestion item,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,,,Y,,,,,"Event seq 27: no role in announcement. Trees: LinearLayout contentDescription="""" isClickable=true with child TextViews. user_actions seq 27: click on LinearLayout confirmed."
MP1,Google Maps,Core,3,Events + User Actions + Trees,"""Tickets"" action button implemented as CompoundButton with no accessible name and wrong role",4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,,,Y,,,,,"tree_2026-05-26T17-21-54-781.json: android.widget.CompoundButton at (386,1526) contentDescription="""" text="""". Child Button text=""Tickets"" not clickable. Role is ""toggle button"" — incorrect for booking CTA."
MP1,Google Maps,Core,4,Events + User Actions + Trees,"""Clear"" search button has no contentDescription on the interactive Button element",4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,,,Y,,,,,"Multiple search trees: android.widget.Button rid=search_omnibox_text_clear contentDescription="""". Child ImageView contentDescription=""Clear""."
MP1,Google Maps,Core,5,Events + User Actions + Trees,"""See nearby attractions"" button has no contentDescription on the Button element",4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,,,Y,,,,,"tree_2026-05-26T17-21-54-781.json: android.widget.Button at (309,299) contentDescription="""". Child View text=""See nearby attractions""."
