Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes
GM2,Gmail,Stressful,1,Events only,WebView body editor announced as generic Webview,4.1.2 Name Role Value (A),High,Y,N,,Y,,,,,,,,"Event 72: class ""android.webkit.WebView"" label ""Webview"" announcement [""Webview, Window Gmail""]; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,2,Events only,Email body edit field announced without a name,4.1.2 Name Role Value (A),High,Y,N,,Y,,,,,,,,"Event 82: class ""android.widget.EditText"" label ""Editing"" announcement [""Editing, Edit box"" ""Actions available, use Tap with 3 fingers to view""]; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,3,Events only,Subject field loses accessible label after typing,3.3.2 Labels or Instructions (A),Medium,Y,N,,Y,,,,,,,,"Event 57: announcement [""Subject, Edit box""]; type events 59-70: resource_id com.google.android.gm:id/subject label """"; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,4,Events only,Unexpected focus jump to WebView interrupts compose navigation,2.4.3 Focus Order (A),High,Y,N,,Y,,,,,,,,"Event 72: class ""android.webkit.WebView"" announcement [""Webview, Window Gmail""] after subject typing; event 81: same WebView intercept on second navigation attempt; Hellot typo (event 73) possibly emulator-related - verify on real device; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,5,Events only,Sender account email address not announced,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,Y,,,,,,,,"Event 56: resource_id com.google.android.gm:id/from_label announcement [""From"" ""Double-tap to activate""] - account email not announced; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,1,Trees only,WebView body container has empty contentDescription and isImportantForAccessibility=false,4.1.2 Name Role Value (A),High,Y,N,,,Y,,,,,,,"tree_2026-05-26T08-45-20-847: body_wrapper WebView outer contentDescription """" isImportantForAccessibility false; inner WebView contentDescription """" isImportantForAccessibility false isScreenReaderFocusable false; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,2,Trees only,Body EditText is hidden from the screen reader,4.1.2 Name Role Value (A),High,Y,N,,,Y,,,,,,,"tree_2026-05-26T08-45-35-206: body EditText contentDescription """" hint """" isImportantForAccessibility false isScreenReaderFocusable false; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,3,Trees only,Subject EditText has no contentDescription - label depends entirely on hint text,3.3.2 Labels or Instructions (A),Medium,Y,N,,,Y,,,,,,,"tree_2026-05-26T08-44-48-094: subject contentDescription """" hint ""Subject"" isShowingHintText true; tree_2026-05-26T08-45-20-847: text ""Hello"" isShowingHintText false contentDescription """"; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,4,Trees only,Inner WebView intercepts TalkBack focus order despite carrying no accessible name,2.4.3 Focus Order (A),High,Y,N,,,Y,,,,,,,"tree_2026-05-26T08-43-42-766: inner WebView isFocusable true contentDescription """" isImportantForAccessibility false isScreenReaderFocusable false - positioned between subject and body in view hierarchy; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,5,Trees only,From account email value is not focusable or labeled,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,Y,,,,,,,"tree_2026-05-26T08-43-42-766: from_account_name text ""manyapbhat@gmail.com"" contentDescription """" isFocusable false; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,1,Events + User Actions,WebView body editor announced as Webview - confirmed triggered by standard swipe navigation,4.1.2 Name Role Value (A),High,Y,N,,,,Y,,,,,,"user_actions seq 59: action ""swipe_right"" action_index 18; event 72: announcement [""Webview, Window Gmail""]; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,2,Events + User Actions,Email body edit field has no accessible name - confirmed by direct tap,4.1.2 Name Role Value (A),High,Y,N,,,,Y,,,,,,"user_actions seq 65-66: click on android.widget.EditText action_index 20-21; event 82: announcement [""Editing, Edit box"" ""Actions available, use Tap with 3 fingers to view""]; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,3,Events + User Actions,Subject field label lost during and after typing,3.3.2 Labels or Instructions (A),Medium,Y,N,,,,Y,,,,,,"Event 57: announcement [""Subject, Edit box""]; type events 59-70: resource_id com.google.android.gm:id/subject label """"; user_actions seq 43: action ""tap"" on keyboard key; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,4,Events + User Actions,Two swipe-right actions required to reach body field - focus order disrupted by WebView,2.4.3 Focus Order (A),High,Y,N,,,,Y,,,,,,"user_actions seq 59 swipe_right action_index 18 -> event 72 announcement [""Webview, Window Gmail""]; seq 62 swipe_right action_index 19 -> event 81 announcement [""Webview, Window Gmail""]; seq 65-66 tap/click action_index 20-21 -> event 82 announcement [""Editing, Edit box""]; Hellot typo event 73 possibly emulator-related; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,5,Events + User Actions,From account email not announced when From field receives focus,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,,Y,,,,,,"user_actions seq 41: action_index 14 class android.widget.TextView text ""From""; event 56: announcement [""From"" ""Double-tap to activate""]; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,1,Events + User Actions + Trees,WebView body area - unlabeled container confirmed across all signals,4.1.2 Name Role Value (A); 1.1.1 Non-text Content (A),High,Y,N,,,,,Y,,,,,"event 72: announcement [""Webview, Window Gmail""]; user_actions seq 59: action ""swipe_right"" action_index 18; tree_2026-05-26T08-45-20-847 body_wrapper WebView contentDescription """" isImportantForAccessibility false; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,2,Events + User Actions + Trees,Email body EditText fully inaccessible to screen reader - confirmed by tree and events,4.1.2 Name Role Value (A),High,Y,N,,,,,Y,,,,,"tree_2026-05-26T08-45-35-206: body EditText contentDescription """" hint """" isImportantForAccessibility false isScreenReaderFocusable false; event 82: announcement [""Editing, Edit box""]; user_actions seq 65-66: action_index 20-21; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,3,Events + User Actions + Trees,Subject field accessible label lost after typing - hint-only labeling confirmed by tree,3.3.2 Labels or Instructions (A),Medium,Y,N,,,,,Y,,,,,"tree_2026-05-26T08-44-48-094: contentDescription """" hint ""Subject"" isShowingHintText true; tree_2026-05-26T08-45-20-847: text ""Hello"" isShowingHintText false; event 57: announcement [""Subject, Edit box""]; type events 59-70: label """"; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,4,Events + User Actions + Trees,Compose focus order disrupted - WebView intercepts swipe navigation and two attempts required,2.4.3 Focus Order (A),High,Y,N,,,,,Y,,,,,"user_actions seq 59 swipe_right action_index 18 -> event 72 announcement [""Webview, Window Gmail""]; seq 62 swipe_right action_index 19 -> event 81 announcement [""Webview, Window Gmail""]; tree: inner WebView isFocusable true isImportantForAccessibility false contentDescription """"; Hellot typo event 73 - verify on real device; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
GM2,Gmail,Stressful,5,Events + User Actions + Trees,From sender email address not reachable by TalkBack - confirmed by tree,4.1.2 Name Role Value (A),Low,Unconfirmed,N,,,,,Y,,,,,"tree_2026-05-26T08-43-42-766: from_account_name contentDescription """" isFocusable false text ""manyapbhat@gmail.com""; event 56: announcement [""From"" ""Double-tap to activate""]; Model: claude-sonnet-4-6; Prompt v1.0; Date: 2026-05-29"
