Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes
YT2,YouTube,Stressful,1,Events only,Comment list-item buttons have "Button" as their accessible name — role word used as label,4.1.2 Name Role Value (A),High,Unconfirmed,N,,Y,,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. Event 2: label:""Button"", announcement:[""Button, It feels like this guy is reading my mind and pacing his lessons perfectly with my career path, step by step., 1 of 3, In list, 3 items"",""Double-tap to activate""]. Same pattern at Event 12."
YT2,YouTube,Stressful,2,Events only,Snackbar/mealbar message content not announced to TalkBack — only Dismiss button voiced,4.1.3 Status Messages (AA),High,Unconfirmed,N,,Y,,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. Events 5–6: resource_id ""com.google.android.youtube:id/mealbar_action_button"", announcement:[""Dismiss, Button"",""Double-tap to activate""] with no preceding announcement of snackbar content. Snackbar visible at events 5, 6, 15."
YT2,YouTube,Stressful,3,Events only,"""ON"" / ""OFF"" state-change announcement broadcast with no label context or associated element",4.1.2 Name Role Value (A),Medium,Unconfirmed,?,,Y,,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. Event 13: event_type:""announcement"", announcement:[""ON"",""OFF""], ui_element label:"""", resource_id:"""", class:"""". No element name accompanies the state change."
YT2,YouTube,Stressful,4,Events only,Snackbar dismiss causes TalkBack focus to jump from comments area back to Video Player,2.4.3 Focus Order (A),Medium,Unconfirmed,N,,Y,,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. Event 14: ""Comments, Heading, Out of list"" → Event 15: Dismiss button focus → Event 17: announcement [""Video player, Double tap to hide controls"",""Double-tap to activate""] at action_index:52."
YT2,YouTube,Stressful,1,Trees only,Comment list-item button parent has empty contentDescription — accessible name derived from children only,4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,Y,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. start tree: watch_list top child class android.widget.Button, contentDescription:"""", isClickable:true, isFocusable:true; child ViewGroup contentDescription:""The Only Accessibility Video You Will Ever Need"". No explicit accessible name on the interactive element."
YT2,YouTube,Stressful,2,Trees only,"""time_bar_entry_point_tap_container"" button has empty contentDescription — chapter title used as de-facto label",4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,Y,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. start tree: resourceId ""com.google.android.youtube:id/time_bar_entry_point_tap_container"", contentDescription:"""", hint:"""", isClickable:true, isFocusable:true; child contentDescription:""Introduction"" provides only label and changes as playback progresses."
YT2,YouTube,Stressful,3,Trees only,Snackbar message text present in view hierarchy but never surfaced as TalkBack announcement,4.1.3 Status Messages (AA),High,Unconfirmed,N,,,Y,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. tree_2026-05-26T17-28-38-432.json text nodes: ""Auto-dubbed"" + ""Audio tracks for some languages were automatically generated. Learn more"" + ""Your controls are modified because an accessibility service is on."" None announced when mealbar appeared."
YT2,YouTube,Stressful,4,Trees only,Autoplay switch encodes state in contentDescription name rather than stateDescription — causes context-free ON/OFF announcement,4.1.2 Name Role Value (A),Medium,Unconfirmed,N,,,Y,,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. start tree: resource_id ""com.google.android.youtube:id/autonav_toggle_button"", class android.widget.Switch, contentDescription:""Autoplay is off"", stateDescription:""OFF"". State embedded in accessible name; when toggled stateDescription value is announced without element label."
YT2,YouTube,Stressful,1,Events + User Actions,Comment list-item buttons have "Button" as their accessible name — confirmed via action-to-event mapping,4.1.2 Name Role Value (A),High,Unconfirmed,N,,,,Y,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. User action seq:6 action_index:44 (phone tap) → Event 2 label:""Button"", announcement [""Button, It feels like this guy is reading my mind..., 1 of 3, In list""]. Direct action-to-focus correlation confirms naming issue."
YT2,YouTube,Stressful,2,Events + User Actions,Snackbar content not announced — user required repeated Dismiss taps without knowing message content,4.1.3 Status Messages (AA),High,Unconfirmed,N,,,,Y,,,,,,"Model: claude-sonnet-4-6 | Prompt: v1.0 | Date: 2026-05-28. Actions 8–15: 5+ repeated browser taps at Dismiss-button coords (~y:2194). Actions 30–35: second Dismiss sequence. Events 5, 6, 15: only ""Dismiss, Button"" announced. Event 16: message announced only after dismiss (~39s after first mealbar appearance)."
