Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes
AM1,Amazon,Core,1,Events only,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,Y,,,,,,,,"event_seq 21: chrome_action_bar_back_icon label:"""" announcement:[""<no_feedback>""]"
AM1,Amazon,Core,2,Events only,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N,N,,Y,,,,,,,,"event_seq 22: label:""Top highlights--content"" announcement includes full product highlights then ""Back Button"""
AM1,Amazon,Core,3,Events only,Search box (chrome_search_box) announces only ""Double-tap to activate"" with no accessible name,4.1.2 Name Role Value (A),Medium,N,N,,Y,,,,,,,,"event_seq 23: chrome_search_box ImageButton label:""Double-tap to activate"" announcement:[""Double-tap to activate""]"
AM1,Amazon,Core,4,Events only,Multiple filter chips announce ""Double-tap to activate"" with no accessible name,4.1.2 Name Role Value (A),High,N,N,,Y,,,,,,,,"event_seq 78 80 82 84 88: filter chip views (gif/8308921011/23566065011/23566064011/1253505011) label:""Double-tap to activate"" announcement:[""Double-tap to activate""]"
AM1,Amazon,Core,5,Events only,All Filters button emits <no_feedback>,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,Y,,,,,,,,"event_seq 106: s-all-filters-announce Button label:"""" announcement:[""<no_feedback>""]; same element alternates between ""All Filters Icon""/""close""/empty within seconds"
AM1,Amazon,Core,6,Events only,TalkBack focus cycling between All Filters and close button — possible focus trap,2.1.2 No Keyboard Trap (A),High,Y,N,,Y,,,,,,,,"events 101–109: focus alternates s-all-filters-announce ↔ close button repeatedly; session ends with task incomplete (no product page reached)"
AM1,Amazon,Core,7,Events only,Zero-height close button receives TalkBack focus,2.4.3 Focus Order (A),Medium,N,N,,Y,,,,,,,,"event_seq 102: Button label:""close"" bounds:{x:945 y:294 w:118 h:0} — zero height element receives TalkBack focus"
AM1,Amazon,Core,8,Events only,Search suggestion row announces full label text twice,4.1.2 Name Role Value (A),Low,N,N,,Y,,,,,,,,"event_seq 58: sac-suggestion-row-2 label:""wireless keyboard and mouse append suggestion wireless keyboard and mouse"" repeated twice in announcement"
AM1,Amazon,Core,9,Trees only,Close button in full filter panel uses URL query string as contentDescription,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,Y,,,,,,,"tree_2026-05-26T17-16-48-445.json: android.view.View close button contentDescription:""s?k=wireless+headphones&rh=p_36%3A1500-2000&dc&crid=2T85DA9I"""
AM1,Amazon,Core,10,Trees only,All interactive elements in full filter panel have isImportantForAccessibility:false inconsistent with TalkBack reachability,4.1.2 Name Role Value (A); 1.3.1 Info and Relationships (A),Medium,N,N,,,Y,,,,,,,"tree_2026-05-26T17-16-48-445.json: all filter chip android.view.View elements isImportantForAccessibility:false isScreenReaderFocusable:false; yet TalkBack navigates to them via WebView mode"
AM1,Amazon,Core,11,Trees only,Filter chips in horizontal strip have no explicit contentDescription — rely solely on text field,4.1.2 Name Role Value (A),Low,N,N,,,Y,,,,,,,"tree_2026-05-26T17-15-10-511.json: ListView filter items contentDescription:"""" text:""Apply Most Purchased filter"" etc — no explicit contentDescription fallback"
AM1,Amazon,Core,1,Events + User Actions,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,Y,,,,,,"event_seq 21: chrome_action_bar_back_icon label:"""" announcement:[""<no_feedback>""]; no corresponding explicit user action — arrived via TalkBack swipe navigation"
AM1,Amazon,Core,2,Events + User Actions,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N,N,,,,Y,,,,,,"event_seq 22: label:""Top highlights--content""; linked to user_actions action_index 28 (swipe_left seq 42)"
AM1,Amazon,Core,3,Events + User Actions,Search box announces only ""Double-tap to activate"" with no accessible name,4.1.2 Name Role Value (A),Medium,N,N,,,,Y,,,,,,"event_seq 23: chrome_search_box announcement:[""Double-tap to activate""]"
AM1,Amazon,Core,4,Events + User Actions,Multiple filter chips announce ""Double-tap to activate"" with no accessible name,4.1.2 Name Role Value (A),High,N,N,,,,Y,,,,,,"event_seq 78 80 82 84 88: confirmed by user_actions seq 121–131 (swipe-right through filter strip action_index 63–76) as intentional forward navigation"
AM1,Amazon,Core,5,Events + User Actions,All Filters button emits <no_feedback>,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,Y,,,,,,"event_seq 106: s-all-filters-announce label:"""" announcement:[""<no_feedback>""]"
AM1,Amazon,Core,6,Events + User Actions,TalkBack focus cycling between All Filters and close button — confirmed focus trap,2.1.2 No Keyboard Trap (A),High,Y,N,,,,Y,,,,,,"user_actions seq 172: click 1253505011 (Apply $15–$20 filter) → events 101–109 cycle between All Filters and close; seq 173–205 show 20+ failed interaction attempts; task not completed"
AM1,Amazon,Core,7,Events + User Actions,Zero-height close button receives TalkBack focus,2.4.3 Focus Order (A),Medium,N,N,,,,Y,,,,,,"event_seq 102: bounds:{h:0}; user_actions seq 178–179: user clicks close button (action_index 98 99)"
AM1,Amazon,Core,8,Events + User Actions,Search suggestion row announces full label text twice,4.1.2 Name Role Value (A),Low,N,N,,,,Y,,,,,,"event_seq 58: label repeated twice; confirmed intentional navigation by user_actions seq 89–101 (swipe-right through suggestions)"
AM1,Amazon,Core,1,Events + User Actions + Trees,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,,Y,,,,,"event_seq 21: announcement:[""<no_feedback>""]; tree_2026-05-26T17-12-54-889.json: same element has contentDescription:""Back"" — transient name-drop during page load"
AM1,Amazon,Core,2,Events + User Actions + Trees,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N,N,,,,,Y,,,,,"event_seq 22: label:""Top highlights--content"" announcement includes full product highlights; tree confirms product highlights content in same WebView"
AM1,Amazon,Core,3,Events + User Actions + Trees,Search box announces only ""Double-tap to activate"" with no accessible name,4.1.2 Name Role Value (A),Medium,N,N,,,,,Y,,,,,"event_seq 23: announcement:[""Double-tap to activate""]; tree: contentDescription:""Search"" — transient name-drop on focus"
AM1,Amazon,Core,4,Events + User Actions + Trees,Multiple filter chips announce ""Double-tap to activate"" with no accessible name,4.1.2 Name Role Value (A),High,N,N,,,,,Y,,,,,"event_seq 78 80 82 84 88: tree_2026-05-26T17-15-10-511.json confirms chips have text labels but contentDescription:"""" — transient failure when text not yet rendered"
AM1,Amazon,Core,5,Events + User Actions + Trees,All Filters button emits <no_feedback>,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,,Y,,,,,"event_seq 106: announcement:[""<no_feedback>""]; tree: contentDescription:"""" text:""All Filters Icon"" — name-drop occurs when text field transiently clears"
AM1,Amazon,Core,6,Events + User Actions + Trees,TalkBack focus cycling between All Filters and close button — confirmed focus trap,2.1.2 No Keyboard Trap (A),High,Y,N,,,,,Y,,,,,"events 101–109 + user_actions seq 172–205; tree_2026-05-26T17-16-48-445.json: close button has URL-string contentDescription contributing to confusing cycling"
AM1,Amazon,Core,7,Events + User Actions + Trees,Zero-height close button receives TalkBack focus,2.4.3 Focus Order (A),Medium,N,N,,,,,Y,,,,,"event_seq 102: bounds:{h:0} label:""close""; user_actions seq 178–179 confirm user interaction with this element"
AM1,Amazon,Core,8,Events + User Actions + Trees,Search suggestion row announces full label text twice,4.1.2 Name Role Value (A),Low,N,N,,,,,Y,,,,,"event_seq 58: full label repeated twice in announcement"
AM1,Amazon,Core,9,Events + User Actions + Trees,Close button in full filter panel uses URL query string as contentDescription,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,,Y,,,,,"tree_2026-05-26T17-16-48-445.json: close button contentDescription:""s?k=wireless+headphones&rh=p_36%3A1500-2000&dc&crid=2T85DA9I"""
