Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG,Severity,Manually Observed
AM1,Amazon,Core,1,Events,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,2,Events,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N
AM1,Amazon,Core,3,Events,"Search box (chrome_search_box) announces only """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),Medium,N
AM1,Amazon,Core,4,Events,"Multiple filter chips announce """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,5,Events,All Filters button emits <no_feedback>,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,Y
AM1,Amazon,Core,6,Events,TalkBack focus cycling between All Filters and close button — possible focus trap,2.1.2 No Keyboard Trap (A),High,Y
AM1,Amazon,Core,7,Events,Zero-height close button receives TalkBack focus,2.4.3 Focus Order (A),Medium,N
AM1,Amazon,Core,8,Events,Search suggestion row announces full label text twice,4.1.2 Name Role Value (A),Low,N
AM1,Amazon,Core,9,Trees,Close button in full filter panel uses URL query string as contentDescription,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,10,Trees,All interactive elements in full filter panel have isImportantForAccessibility:false inconsistent with TalkBack reachability,4.1.2 Name Role Value (A); 1.3.1 Info and Relationships (A),Medium,N
AM1,Amazon,Core,11,Trees,Filter chips in horizontal strip have no explicit contentDescription — rely solely on text field,4.1.2 Name Role Value (A),Low,N
AM1,Amazon,Core,1,Events + User Actions,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,2,Events + User Actions,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N
AM1,Amazon,Core,3,Events + User Actions,"Search box announces only """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),Medium,N
AM1,Amazon,Core,4,Events + User Actions,"Multiple filter chips announce """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,5,Events + User Actions,All Filters button emits <no_feedback>,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,6,Events + User Actions,TalkBack focus cycling between All Filters and close button — confirmed focus trap,2.1.2 No Keyboard Trap (A),High,Y
AM1,Amazon,Core,7,Events + User Actions,Zero-height close button receives TalkBack focus,2.4.3 Focus Order (A),Medium,N
AM1,Amazon,Core,8,Events + User Actions,Search suggestion row announces full label text twice,4.1.2 Name Role Value (A),Low,N
AM1,Amazon,Core,1,Events + User Actions + Trees,Back button announces <no_feedback> on product page,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,2,Events + User Actions + Trees,Back button announces full product page content instead of its own label,4.1.2 Name Role Value (A); 2.4.4 Link Purpose (A),High,N
AM1,Amazon,Core,3,Events + User Actions + Trees,"Search box announces only """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),Medium,N
AM1,Amazon,Core,4,Events + User Actions + Trees,"Multiple filter chips announce """"Double-tap to activate"""" with no accessible name",4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,5,Events + User Actions + Trees,All Filters button emits <no_feedback>,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,6,Events + User Actions + Trees,TalkBack focus cycling between All Filters and close button — confirmed focus trap,2.1.2 No Keyboard Trap (A),High,Y
AM1,Amazon,Core,7,Events + User Actions + Trees,Zero-height close button receives TalkBack focus,2.4.3 Focus Order (A),Medium,N
AM1,Amazon,Core,8,Events + User Actions + Trees,Search suggestion row announces full label text twice,4.1.2 Name Role Value (A),Low,N
AM1,Amazon,Core,9,Events + User Actions + Trees,Close button in full filter panel uses URL query string as contentDescription,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM1,Amazon,Core,10,Events + User Actions + Trees,All interactive elements in full filter panel have isImportantForAccessibility:false inconsistent with TalkBack reachability,4.1.2 Name Role Value (A); 1.3.1 Info and Relationships (A),Medium,N
AM1,Amazon,Core,11,Events + User Actions + Trees,Filter chips in horizontal strip have no explicit contentDescription — rely solely on text field,4.1.2 Name Role Value (A),Low,N
AM2,Amazon,Stressful,1,Events,"Filter chips announce ""Double-tap to activate"" as sole accessible name — no descriptive label",4.1.2 Name Role Value (A),High,N
AM2,Amazon,Stressful,2,Events,Filter chip announces <no_feedback> — completely empty accessible name,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N
AM2,Amazon,Stressful,3,Events,Two distinct filter categories merged into single focusable element with duplicate position indices,1.3.1 Info and Relationships (A),High,N
AM2,Amazon,Stressful,4,Events,Close button in All Filters modal has zero touch target height,2.5.8 Minimum Target Size (AA),Medium,N
AM2,Amazon,Stressful,5,Events,Raw URL announced as accessible name for browser tab element,4.1.2 Name Role Value (A),Medium,N
AM2,Amazon,Stressful,1,Trees,Bottom navigation tabs (ActionBar$Tab) have no accessible name on interactive parent element,4.1.2 Name Role Value (A),Medium,N
AM2,Amazon,Stressful,2,Trees,View Sponsored information or leave ad feedback button below minimum touch target height (142×40px ≈ 14dp height),2.5.8 Minimum Target Size (AA),Medium,N
